area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_numeric,price_per_sqft,area_type_encoded
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2.0,1.0,39.07,2.0,1056.0,3699.810606060606,3
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5.0,3.0,120.0,4.0,2600.0,4615.384615384615,2
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,Unknown,1440,2.0,3.0,62.0,3.0,1440.0,4305.555555555556,0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3.0,1.0,95.0,3.0,1521.0,6245.890861275477,3
Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1200,2.0,1.0,51.0,2.0,1200.0,4250.0,3
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2.0,1.0,38.0,2.0,1170.0,3247.863247863248,3
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4.0,2.0,204.0,4.0,2732.0,7467.0571010248905,3
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4.0,2.0,600.0,4.0,3300.0,18181.81818181818,3
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Unknown,1310,3.0,1.0,63.25,3.0,1310.0,4828.244274809161,3
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,Unknown,1020,6.0,2.0,370.0,6.0,1020.0,36274.509803921566,2
Super built-up  Area,18-Feb,Whitefield,3 BHK,Unknown,1800,2.0,2.0,70.0,3.0,1800.0,3888.8888888888887,3
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5.0,3.0,295.0,4.0,2785.0,10592.45960502693,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2.0,1.0,38.0,2.0,1000.0,3800.0,3
Built-up  Area,Ready To Move,Gottigere,2 BHK,Unknown,1100,2.0,2.0,40.0,2.0,1100.0,3636.3636363636365,0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,148.0,3.0,2250.0,6577.777777777777,2
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,73.5,2.0,1175.0,6255.31914893617,3
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3.0,2.0,48.0,3.0,1180.0,4067.7966101694915,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3.0,3.0,60.0,3.0,1540.0,3896.103896103896,3
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4.0,2.0,290.0,3.0,2770.0,10469.314079422382,3
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,Unknown,1100,2.0,2.0,48.0,2.0,1100.0,4363.636363636364,3
Built-up  Area,Ready To Move,Kengeri,1 BHK,Unknown,600,1.0,1.0,15.0,1.0,600.0,2500.0,0
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3.0,1.0,122.0,3.0,1755.0,6951.5669515669515,3
Super built-up  Area,Ready To Move,Bellandur,3 BHK,Unknown,1767,3.0,1.0,103.0,3.0,1767.0,5829.088851160159,3
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1.0,0.0,25.25,1.0,510.0,4950.980392156863,3
Super built-up  Area,18-May,Mangammanapalya,3 BHK,Unknown,1250,3.0,2.0,56.0,3.0,1250.0,4480.0,3
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,23.1,2.0,660.0,3500.0,3
Built-up  Area,20-Dec,Whitefield,3 BHK,Unknown,1610,3.0,2.0,81.0,3.0,1610.0,5031.055900621118,0
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,48.77,2.0,1151.0,4237.185056472633,3
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2.0,1.0,47.0,3.0,1025.0,4585.365853658536,3
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4.0,0.0,186.0,4.0,2475.0,7515.151515151515,3
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,35.0,3.0,1075.0,3255.813953488372,3
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,123.0,3.0,1760.0,6988.636363636364,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,3.0,1693.0,3389.84051978736,3
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3.0,2.0,125.0,3.0,1925.0,6493.506493506494,0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0,2.0,700.0,5142.857142857143,3
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Unknown,1070,2.0,1.0,45.5,2.0,1070.0,4252.336448598131,3
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,125.0,3.0,1724.0,7250.580046403712,3
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Unknown,1290,2.0,2.0,56.12,3.0,1290.0,4350.387596899225,3
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Unknown,1143,2.0,2.0,45.0,2.0,1143.0,3937.0078740157483,0
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2.0,2.0,81.0,2.0,1296.0,6250.0,0
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3.0,2.0,38.0,3.0,1254.0,3030.3030303030305,3
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1.0,0.0,38.0,1.0,600.0,6333.333333333333,3
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,Unknown,660,1.0,0.0,48.0,1.0,660.0,7272.727272727273,2
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79,2.0,1330.74,6897.665960292769,3
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,33.0,2.0,970.0,3402.061855670103,3
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2.0,1.0,94.82,2.0,1459.0,6498.971898560658,3
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,Unknown,869,2.0,1.0,36.0,2.0,869.0,4142.692750287687,0
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2.0,1.0,50.0,2.0,1270.0,3937.0078740157483,3
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3.0,1.0,99.0,3.0,1670.0,5928.143712574851,3
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,2.0,91.0,3.0,2010.0,4527.363184079602,0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2.0,2.0,75.0,2.0,1185.0,6329.113924050633,3
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,75.0,3.0,1600.0,4687.5,3
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.0,2.0,1200.0,3666.6666666666665,3
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,2.0,2.0,192.0,4.0,3210.0,5981.308411214954,0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,2.0,185.0,2.0,1500.0,12333.333333333334,3
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,Unknown,840,2.0,2.0,45.0,2.0,840.0,5357.142857142857,3
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,Unknown,4395,3.0,2.0,240.0,3.0,4395.0,5460.750853242321,2
